pipeline,pdf,Programmatic_NED,Programmatic_ReadingOrder,LLM_Text_Score,LLM_Table_Score,LLM_ReadingOrder_Score,LLM_Reasoning
glmocr,X51007391390.pdf,0.455,0.9705,0.95,0.8,0.9,"The text accuracy score is high due to most of the text being extracted correctly, but minor errors like 'Taman Sri Serdanq' instead of 'Taman Sri Serdang' and 'Seri Kembanqan' instead of 'Seri Kembangan' occurred. The table structure score is lower because the table headers and structure were not perfectly preserved. The reading order score is high as the overall layout and order of the extracted text are logical and similar to the ground truth."
glmocr,X51007419197.pdf,0.6307,0.9679,0.95,0.0,0.9,"The text accuracy score is high due to minimal errors in extracted text, but table structure score is low because the table was not properly extracted. The reading order score is also high as the overall layout is preserved, but some minor issues exist."
glmocr,25.pdf,0.5368,0.9351,0.7,1.0,0.6,"The extracted text has some minor errors such as 'भारतीय स्टेट बैक' instead of 'भारतीय स्टेट बैंक', 'IFS CODE' instead of 'IFSC CODE', and 'धपये' instead of 'रूपये'. The table structure score is 1.0 since there are no tables in the ground truth or extracted text. The reading order score is 0.6 because the layout is mostly preserved but some elements are out of order or missing, such as the second address block and the signature line."
glmocr,11.pdf,0.6329,0.8191,0.8,1.0,0.7,"The extracted text is mostly accurate but has some minor discrepancies in font and language, such as 'Pay आओ करे' being extracted as 'Pay अदा करें' and 'या धारक को' being extracted as 'या धारक करें'. Additionally, some sections like 'SESHAASAI (M) / CTS - 2010' and '[Signature]' are missing. The table structure score is 1.0 since there are no tables in the original document. The reading order score is 0.7 because the overall layout is preserved but some sections are missing or out of order."
glmocr,64.pdf,0.6035,0.9173,0.6,1.0,0.8,"The extracted text has some inaccuracies, such as 'केजल 3 मार्गीसे के लिए जेल' instead of 'केवल 3 महीने के लिए वैध', and 'कपये' instead of 'रूपये'. However, the overall structure and reading order are preserved, with some extra information present in the extracted text that is not present in the ground truth. Since there are no tables in the ground truth, the table structure score is 1.0."
glmocr,35.pdf,0.5,0.9974,0.9,0.8,0.7,"The extracted text is mostly accurate, but some minor formatting issues and missing markdown headers exist. The table structures are generally preserved, but some column alignments and formatting are lost. The reading order is mostly logical, but the introduction of 'Look over all transactions' and 'Page 1' disrupts the original flow."
glmocr,order_11069.pdf,0.843,1.0,1.0,1.0,1.0,"The extracted markdown is nearly identical to the ground truth markdown, with the only difference being the addition of '# Page 1' at the top of the extracted markdown. The text content, table structure, and reading order are all preserved accurately."
lightonocr,purchase_orders_11053.pdf,0.3254,1.0,0.98,0.9,0.9,"The extracted text is almost identical to the ground truth, with minor differences in formatting and a small error in the unit price of one product. The table structure is mostly preserved, but the extracted tables use HTML instead of Markdown. The reading order is generally logical, but the addition of 'Page 1' and an image at the top of the extracted text disrupts the original flow."
lightonocr,79.pdf,0.3274,0.8836,0.95,0.9,0.8,"The extracted text content is mostly accurate, with minor formatting differences. The table structure is well-preserved, but with some minor adjustments to the HTML format. The reading order is generally logical, but the extracted content has some unnecessary elements like the image tag and extra table rows, which affect the overall layout and reading flow."
lightonocr,49.pdf,0.666,0.9536,0.9,1.0,0.9,"The extracted text is mostly accurate, but some minor formatting differences and the addition of 'Indian Overseas Bank BANK STATEMENT' and 'paisabazaar' at the beginning and end respectively reduce the text accuracy score. The table structure is perfectly preserved, hence a score of 1.0. The reading order is also mostly preserved, but the minor formatting differences and added text reduce the score to 0.9."
lightonocr,X51008164997.pdf,0.3992,1.0,0.9,0.8,0.9,"The extracted text is mostly accurate, but some minor formatting differences and missing information exist. The table structure is generally correct, but some rows are split unnecessarily. The reading order is mostly preserved, but some minor adjustments in formatting may affect the flow."
lightonocr,90.pdf,0.3855,0.8555,0.6,1.0,0.4,"The extracted text has several inaccuracies, such as 'SRI PUDHAN' instead of 'SHRI RUBAN', 'GALLI NO 9' instead of 'GALI NO 9', 'MAHILIL' instead of 'JHILMIL', and 'ENGLAW' instead of 'ENCLAVE'. The table structure score is 1.0 because there are no tables in the original document. The reading order score is 0.4 because the layout and reading order are not well preserved, with many sections and lines out of order or missing."
lightonocr,43.pdf,0.2787,0.9645,0.8,0.6,0.7,"The extracted text is mostly accurate, but some minor formatting issues and missing information are present. The table structures are partially preserved, but some tables are not formatted correctly. The reading order is generally preserved, but some sections are out of order or have incorrect headings."
lightonocr,94.pdf,0.2773,0.9687,0.8,0.7,0.6,"The extracted text is mostly accurate, but some minor formatting differences and missing bold/italic markings exist. Tables are generally well-structured, but some fields are missing or have different formatting. The reading order is mostly preserved, but some sections have been rearranged or have different formatting, affecting the logical flow."
lightonocr,batch2-0996.pdf,0.4526,1.0,0.95,1.0,0.9,"The extracted text is mostly accurate, with minor formatting differences. The tables are perfectly extracted with correct data and structure. The reading order is mostly preserved, but there are minor differences in section headings and formatting."
lightonocr,27.pdf,0.3739,0.9574,0.95,0.8,0.9,"The extracted text is mostly accurate, but minor formatting differences and the absence of markdown headers in the extracted version result in a text accuracy score of 0.95. The table structure score is 0.8 due to the conversion of markdown tables to HTML tables, which although acceptable, alters the original structure. The reading order score is 0.9, as the overall layout and logical flow of information are preserved, despite some adjustments in formatting."
lightonocr,81.pdf,0.3183,0.9604,0.9,0.9,0.8,"The extracted text is mostly accurate, but some fields like Name, Emp Id, and PAN are empty in the extracted version. The table structure is well-preserved, but the formatting is different. The reading order is generally logical, but the addition of an image and the use of HTML tables and div elements disrupt the original flow slightly."
lightonocr,batch1-0273.pdf,0.4893,0.9969,0.95,1.0,0.9,"The extracted text is mostly accurate, with minor formatting differences. The tables are perfectly extracted with correct data and structure. The reading order is mostly preserved, but there are minor differences in section headings and formatting."
lightonocr,X51007391390.pdf,0.3902,0.9925,0.95,0.9,0.9,"The extracted text is mostly accurate, but there are minor errors such as 'Taman Sri Serdanq' instead of 'Taman Sri Serdang' and 'Seri Kembanqan' instead of 'Seri Kembangan'. The table structure is well-preserved, but the formatting is different from the original. The reading order is mostly logical, but some sections have different formatting."
lightonocr,X51007419197.pdf,0.5568,1.0,0.95,0.8,0.9,"The extracted text is mostly accurate, but minor formatting differences and extra commas exist. The table structure is mostly preserved but uses HTML instead of markdown. The reading order is generally logical, but some minor differences in line breaks and spacing occur."
lightonocr,25.pdf,0.1371,0.9312,0.6,0.0,0.4,"The extracted text has several inaccuracies, such as missing or incorrect information, and the layout is not well-preserved. The table structure is not extracted at all, and the reading order is not logical in some parts."
lightonocr,11.pdf,0.3452,0.6021,0.8,0.8,0.6,"The extracted text is mostly accurate, but some parts like the date format and the signature section are not perfectly preserved. The table structure is partially preserved, but the original format is not maintained. The reading order is somewhat preserved, but the layout is not identical to the ground truth, with some sections rearranged."
lightonocr,64.pdf,0.4353,0.977,0.8,0.0,0.7,"The extracted text has some minor errors such as 'चय' instead of 'महीने', and 'रुपये' instead of 'रूपये', and 'अदा करे' which is not present in the ground truth. The table structure is not preserved as the account number is not correctly placed in the extracted markdown. The reading order is mostly preserved but has some discrepancies such as the addition of 'दिनांक / Date 10-02-15' and the address of the bank which is not present in the ground truth."
lightonocr,order_11069.pdf,0.8376,1.0,1.0,1.0,1.0,"The extracted markdown preserves the original text content, layout, and reading order. Although the formatting differs slightly, the essential information and structure remain intact."
docling,purchase_orders_11053.pdf,0.7766,1.0,0.98,0.95,0.9,"The extracted text is almost identical to the ground truth, with minor differences in formatting and punctuation. The tables are correctly extracted with the same structure and data, but with some extra whitespace and colon punctuation. The reading order is mostly preserved, but the title and section headers have some minor differences."
docling,79.pdf,0.6965,0.927,0.7,0.6,0.4,"The extracted text has some minor formatting issues and missing headers, but most of the content is preserved. The table structure is mostly correct, but some columns are merged or have incorrect data. The reading order is not well preserved due to missing headers and incorrect table formatting."
docling,49.pdf,0.3195,0.7524,0.9,0.6,0.9,"The text accuracy score is high because most of the text content is extracted correctly, but there are minor formatting differences and some missing spaces. The table structure score is lower because the extracted table uses a different format (Markdown table vs HTML table) and the data is not properly separated into individual rows. The reading order score is high because the overall layout and order of the sections are preserved."
docling,X51008164997.pdf,0.4152,0.8221,0.8,0.6,0.7,"The extracted text has some minor errors such as missing spaces, incorrect punctuation and formatting issues, resulting in a text accuracy score of 0.8. The table structure score is 0.6 due to the lack of clear table formatting and some missing table headers. The reading order score is 0.7 as the overall layout is preserved but with some minor discrepancies in the extracted text."
docling,90.pdf,0.3421,0.6857,0.6,1.0,0.7,"The extracted text has several inaccuracies, such as 'SRIOHANHPGASEVILE' instead of 'SHRI RUBAN HP GAS SERVICE' and 'C.L.SHHFA' instead of 'C.L.SHARMA', which reduces the text accuracy score. Since there are no tables in the ground truth or extracted markdown, the table structure score is 1.0. The reading order score is 0.7 because the overall layout is preserved, but some sections are missing or misplaced, such as the 'HP GAS' logo, 'जोहो!', and the mask awareness banner."
docling,43.pdf,0.7558,0.9637,0.8,0.9,0.7,"The extracted text content is mostly accurate, but there are minor formatting issues and missing or extra characters. The table structures are well-preserved, with correct data and formatting. However, the reading order is not perfectly preserved due to the presence of extra 'image' tags and minor formatting discrepancies."
docling,94.pdf,0.4899,0.8922,0.6,0.4,0.5,"The extracted text has some inaccuracies, such as missing or incorrect punctuation, and formatting issues. The table structures are not well preserved, with some columns and rows not correctly aligned or separated. The reading order is partially preserved, but some sections are out of order or missing, affecting the overall logical flow of the document."
docling,batch2-0996.pdf,0.7384,0.7361,0.8,1.0,0.6,"The text accuracy score is 0.8 due to minor formatting issues and missing or incorrect punctuation in the extracted text. The table structure score is 1.0 as the tables are correctly extracted with the right data and structure. The reading order score is 0.6 because the client section is placed at the end in the extracted text, whereas it should be between the seller and items sections."
docling,27.pdf,0.1706,0.9073,0.7,0.2,0.1,"The extracted text has many inaccuracies, such as missing or extra characters, and incorrect formatting. The table structure is poorly extracted, with data scattered across multiple columns and rows. The reading order is also not preserved, with sections and tables jumbled together."
docling,81.pdf,0.5309,0.951,0.8,0.4,0.6,"The extracted text content is mostly accurate but has some formatting issues and missing headers. The table structure is not well preserved, with incorrect column alignments and merged cells. The reading order is generally preserved but has some logical inconsistencies, such as missing sections and incorrect table placements."
docling,batch1-0273.pdf,0.7229,0.7226,0.8,0.9,0.6,"The extracted text content has minor formatting issues and missing information such as the 'Date of Issue' label and the '**Total**' label in the summary table, resulting in a text accuracy score of 0.8. The table structure is mostly preserved with correct data, but some minor formatting issues exist, leading to a table structure score of 0.9. The reading order is not perfectly preserved due to the misplaced 'Client' section, resulting in a reading order score of 0.6."
docling,X51007391390.pdf,0.4197,0.9749,0.8,0.4,0.6,The text accuracy score is 0.8 due to minor formatting and punctuation errors in the extracted text. The table structure score is 0.4 because the extracted table has incorrect column headers and some rows are not properly formatted. The reading order score is 0.6 as the overall layout is preserved but some sections are not logically ordered.
docling,X51007419197.pdf,0.5534,0.9073,0.8,0.2,0.8,"The extracted text has minor formatting issues and lacks proper spacing, but most of the content is preserved. The table structure is not well-maintained, with missing headers and incorrect formatting. However, the overall reading order is logical and easy to follow."
docling,25.pdf,0.3105,0.7684,0.6,1.0,0.4,"The extracted text has several inaccuracies, such as missing or misplaced words and characters, resulting in a moderate text accuracy score. Since there are no tables in the ground truth or extracted markdown, the table structure score is perfect. The reading order is not well preserved, with some elements out of place or missing, leading to a lower reading order score."
docling,11.pdf,0.211,0.8095,0.2,1.0,0.0,"The extracted text lacks most of the content from the ground truth, including crucial information like the account holder's name, address, and IFSC code. The table structure score is 1.0 because there are no tables in the ground truth or extracted text. The reading order score is 0.0 because the extracted text does not preserve the logical layout and order of the ground truth."
docling,64.pdf,0.1976,0.6471,0.6,1.0,0.4,"The extracted text has several inaccuracies, such as 'MULTi-CITYCHEQUE' instead of 'MULTI-CITY CHEQUE', 'Ranan' instead of 'Djiu Ranjan', and 'qRUPEES' instead of 'RUPEES'. The table structure score is 1.0 since there are no tables in the ground truth or extracted text. The reading order score is 0.4 due to the disorganized and incorrect placement of certain text elements, such as 'ADFORMONTHSONLY' and 'T3HORORDER', which seem to be misplaced or incorrectly extracted."
docling,35.pdf,0.7943,0.8407,0.8,0.7,0.6,"The extracted text is mostly accurate, but some minor formatting issues and missing information, such as the account type and the header for the account activity table, are present. The table structures are generally preserved, but some column headers are missing or incorrect. The reading order is mostly logical, but some sections, like the 'Look over all transactions' heading, seem out of place or incorrectly labeled."
docling,order_11069.pdf,0.8426,1.0,1.0,1.0,0.9,"The extracted markdown is almost identical to the ground truth, with the only differences being the use of double hashes (##) instead of single hashes (#) for headings, and the type of line used for the product separator. The text content is entirely accurate, there are no tables to evaluate, and the reading order is mostly preserved, with the exception of the heading formatting."
mineru_ocrmypdf,purchase_orders_11053.pdf,0.2047,1.0,0.95,0.9,0.9,"The extracted text is mostly accurate, but there are minor discrepancies such as the title and the colon after Product ID and Unit Price in the extracted markdown. The table structure is mostly preserved, but the formatting is different. The reading order is also mostly preserved, but the title and section headers are different."
mineru_ocrmypdf,79.pdf,0.2692,0.9271,0.9,0.8,0.6,"The extracted text is mostly accurate, but some minor formatting and header information is missing. The table structure is generally correct, but some column alignments and formatting are different from the ground truth. The reading order is mostly preserved, but the authorization and registered office sections are not formatted as in the ground truth, and some sections are missing headers."
mineru_ocrmypdf,49.pdf,1.0,1.0,1.0,1.0,1.0,"The extracted markdown is identical to the ground truth markdown, with no differences in text content, table structure, or reading order."
mineru_ocrmypdf,X51008164997.pdf,0.2749,1.0,0.9,0.8,0.7,"The extracted text is mostly accurate, but there are minor discrepancies such as the missing company registration number hyphen and incorrect time in the 'Closed' section. The table structure is generally well-preserved, but the description fields are empty and some rows are split unnecessarily. The reading order is mostly logical, but the use of multiple tables for what could be a single table or simple text sections disrupts the flow."
mineru_ocrmypdf,90.pdf,0.509,0.8502,0.7,1.0,0.8,"The extracted text has some minor errors in spelling and formatting, but overall the content is preserved. There are no tables in the original or extracted text, so the table structure score is 1.0. The reading order is mostly preserved, but some sections are slightly rearranged or have different formatting."
mineru_ocrmypdf,43.pdf,0.2676,0.9483,0.8,0.9,0.7,"The extracted text is mostly accurate, but some minor formatting issues and missing headers exist. Tables are well-structured, but some images are present in the extracted text, which may indicate issues with the extraction process. The reading order is generally preserved, but some sections appear out of order or with incorrect formatting."
mineru_ocrmypdf,94.pdf,0.2098,0.9352,0.8,0.7,0.6,"The extracted text content is mostly accurate, but some minor formatting issues and missing information, such as the website description and the **Total Amount** emphasis, are present. The table structures are generally correct, but some tables have extra or missing rows, and the column headers do not always match the original. The reading order is mostly preserved, but the layout is not identical, with some sections and images not in the same position as the ground truth."
mineru_ocrmypdf,batch2-0996.pdf,0.313,0.9224,0.9,0.9,0.8,"The extracted text is mostly accurate, but some minor formatting differences and missing headers exist. The tables are well-structured but use HTML instead of Markdown. The reading order is generally preserved, but some sections like the invoice number and date of issue are missing."
mineru_ocrmypdf,27.pdf,0.2904,0.9661,0.8,0.6,0.7,"The extracted text content is mostly accurate, but there are minor discrepancies such as missing markdown headers and formatting issues. The table structure is partially preserved, but the layout and formatting are not identical to the ground truth. The reading order is generally logical, but some sections are not perfectly aligned with the original document."
mineru_ocrmypdf,81.pdf,0.3058,0.9711,0.8,0.9,0.7,"The extracted text is mostly accurate but some fields like Name, Emp Id, PAN, and GPF/PRAN No are empty in the extracted version. The table structure is well preserved with correct data. The reading order is mostly logical but some sections like Employee Information are not formatted as tables in the extracted version."
mineru_ocrmypdf,batch1-0273.pdf,0.3767,0.9876,0.9,0.8,0.7,"The extracted text is mostly accurate, but some minor formatting differences and missing headers exist. The tables are well-structured but lack markdown formatting. The reading order is generally preserved, but some sections like the invoice number and date of issue are missing."
mineru_ocrmypdf,X51007391390.pdf,0.277,1.0,0.9,0.8,0.7,"The extracted text is mostly accurate, but some minor formatting issues exist. The table structure is generally correct, but some empty rows and columns are present. The reading order is mostly preserved, but some elements like the company number and GST registration number are not formatted as in the ground truth."
mineru_ocrmypdf,X51007419197.pdf,0.4885,1.0,0.9,0.8,0.9,"The extracted text is mostly accurate, but there are minor formatting issues and missing hyphens in the address. The table structure is mostly preserved, but the item description is split into separate columns. The reading order is generally logical, but the table format may affect the flow."
mineru_ocrmypdf,25.pdf,0.2645,0.8513,0.4,0.0,0.2,"The extracted text has several inaccuracies, missing information, and incorrect formatting, resulting in a low text accuracy score. The table structure score is 0.0 because the extracted text does not preserve the original table structure. The reading order score is also low due to the disorganized and incomplete extraction of the original content."
mineru_ocrmypdf,11.pdf,0.2995,0.4997,0.6,0.8,0.4,"The extracted text has several inaccuracies, such as 'Rayuai Manish OJha' instead of 'Ravuri Manish Ojha', 'Twenty Two lunch thirty five' instead of 'Twenty Two lakh thirty five', and missing information like 'SESHAASAI (M) / CTS - 2010' and 'ICICI Bank SECUNDERABAD MAIN Branch' address. The table structure score is higher because the extracted table has the correct structure, although it was not present in the original markdown. The reading order score is lower due to the missing and misplaced information, and the presence of unnecessary images and details."
mineru_ocrmypdf,64.pdf,0.4856,0.9765,0.8,0.5,0.6,"The extracted text is mostly accurate but contains minor errors such as 'वैप्र' instead of 'वैध'. The table structure is partially preserved but not entirely correct, with some fields being incorrectly formatted as tables. The reading order is generally preserved but contains some disruptions due to the incorrect table formatting and the presence of an image where a signature should be."
mineru_ocrmypdf,35.pdf,0.2749,0.9322,0.8,0.9,0.7,"The extracted text is mostly accurate, but some minor formatting and wording differences exist. The table structures are well-preserved, with only minor formatting differences. The reading order is generally logical, but some sections have been rearranged or reworded, affecting the overall flow."
mineru_ocrmypdf,order_11069.pdf,0.86,1.0,1.0,1.0,0.9,"The extracted markdown preserves the raw text content accurately, but the header levels are different (e.g., # vs ##), which slightly affects the reading order."
mineru,purchase_orders_11053.pdf,0.2047,1.0,0.95,0.9,0.9,"The extracted text is mostly accurate, but there are minor discrepancies such as the title and the colon after Product ID, Quantity, and Unit Price in the extracted markdown. The table structure is mostly preserved, but the formatting differs between the ground truth and extracted markdown. The reading order is generally preserved, but the title and section headers differ."
mineru,79.pdf,0.2692,0.9271,0.9,0.8,0.6,"The extracted text is mostly accurate, but some minor formatting and header information is missing, resulting in a text accuracy score of 0.9. The table structure score is 0.8 because the tables are mostly correct, but some minor formatting issues exist. The reading order score is 0.6 because the overall layout is not perfectly preserved, with some sections and headers missing or out of order."
mineru,49.pdf,1.0,1.0,1.0,1.0,1.0,"The extracted markdown is identical to the ground truth markdown, with no differences in text content, table structure, or reading order."
mineru,X51008164997.pdf,0.2749,1.0,0.9,0.8,0.7,"The extracted text is mostly accurate, but there are minor discrepancies such as the missing hyphen in the company registration number and the incorrect time in the 'Closed' section. The table structure is generally well-preserved, but the description fields are not correctly aligned with their corresponding quantities and totals. The reading order is mostly logical, but the use of multiple tables for different sections of the invoice disrupts the original flow."
mineru,90.pdf,0.509,0.8502,0.7,1.0,0.8,"The extracted text has some minor errors such as 'SRI HOVAN' instead of 'SHRI RUBAN', 'C.L.SHATA' instead of 'C.L.SHARMA', 'D.C. JHILMIL' instead of '77/C, JHILMIL', and 'LPi H22' instead of 'LPG ID:2 9110'. However, the overall text content is mostly accurate, resulting in a text accuracy score of 0.7. Since there are no tables in the original document, the table structure score is 1.0. The reading order is mostly preserved, but some elements like the HP GAS logo, customer copy, and mask awareness banner are not in the exact same position, resulting in a reading order score of 0.8."
mineru,43.pdf,0.2676,0.9483,0.8,0.9,0.7,"The extracted text is mostly accurate, but some minor formatting issues and missing headers exist. Tables are well-structured, but some images are present in the extracted text, which may indicate issues with the extraction process. The reading order is generally preserved, but some sections appear out of order or with incorrect formatting."
mineru,94.pdf,0.2098,0.9352,0.8,0.7,0.6,"The extracted text content is mostly accurate, but some minor formatting issues and missing information, such as the website description and the **Total Amount** emphasis, are present. The table structures are generally correct, but some tables have extra or missing rows, and the column headers do not always match the original. The reading order is mostly preserved, but the layout is not identical, with some sections and images not in the same position as the ground truth."
mineru,batch2-0996.pdf,0.313,0.9224,0.9,0.8,0.7,"The text accuracy score is high because most of the text content is accurately extracted, but some minor formatting differences and missing information like the invoice number and date of issue exist. The table structure score is relatively high because the tables are mostly correctly extracted, but some minor formatting differences and the lack of markdown formatting in the extracted tables exist. The reading order score is lower because the layout and reading order are not perfectly preserved, with some sections like the invoice number and date of issue missing, and the summary section not being perfectly formatted."
mineru,27.pdf,0.2904,0.9661,0.8,0.6,0.7,"The extracted text content is mostly accurate, but there are minor discrepancies such as missing markdown headers and formatting issues. The table structure is partially preserved, but the layout and column spans are not identical to the ground truth. The reading order is generally logical, but the extracted content has a different layout and formatting than the original."
mineru,81.pdf,0.3058,0.9711,,,,
mineru,batch1-0273.pdf,0.3767,0.9876,,,,
mineru,X51007391390.pdf,0.277,1.0,,,,
mineru,X51007419197.pdf,0.4885,1.0,,,,
mineru,25.pdf,0.2645,0.8513,,,,
mineru,11.pdf,0.2995,0.4997,,,,
mineru,64.pdf,0.4856,0.9765,,,,
mineru,35.pdf,0.2749,0.9322,,,,
mineru,order_11069.pdf,0.86,1.0,,,,
docling_ocrmypdf,purchase_orders_11053.pdf,0.7766,1.0,,,,
docling_ocrmypdf,79.pdf,0.4002,0.7365,,,,
docling_ocrmypdf,49.pdf,0.3356,0.8974,,,,
docling_ocrmypdf,X51008164997.pdf,0.4318,0.9911,,,,
docling_ocrmypdf,90.pdf,0.2655,0.5333,,,,
docling_ocrmypdf,43.pdf,0.7405,0.793,,,,
docling_ocrmypdf,94.pdf,0.4326,0.954,,,,
docling_ocrmypdf,batch2-0996.pdf,0.7818,0.9568,,,,
docling_ocrmypdf,27.pdf,0.3291,1.0,,,,
docling_ocrmypdf,81.pdf,0.4884,0.9707,,,,
docling_ocrmypdf,batch1-0273.pdf,0.7798,0.9577,,,,
docling_ocrmypdf,X51007391390.pdf,0.4523,0.957,,,,
docling_ocrmypdf,X51007419197.pdf,0.6261,0.9847,,,,
docling_ocrmypdf,25.pdf,0.2684,0.8129,,,,
docling_ocrmypdf,11.pdf,0.0154,0.0,,,,
docling_ocrmypdf,64.pdf,0.2847,0.6421,,,,
docling_ocrmypdf,35.pdf,0.8114,0.9205,,,,
docling_ocrmypdf,order_11069.pdf,0.8426,1.0,,,,
rapidocr_docling,79.pdf,0.1617,0.3489,,,,
rapidocr_docling,94.pdf,0.2087,0.7169,,,,
rapidocr_docling,batch1-0273.pdf,0.2843,0.581,,,,
rapidocr_docling,X51007391390.pdf,0.3147,0.8464,,,,
rapidocr_docling,11.pdf,0.4991,0.8195,,,,
rapidocr_docling,35.pdf,0.2556,0.2583,,,,
